Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2014112818696,20-Nov-14,19-Aug-14,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Property Damage,Checked Baggage,Other,-,-
2014112818698,20-Nov-14,7-Nov-14,IAD,Washington Dulles International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,-,-
2014112818699,24-Nov-14,6-Nov-14,DAL,Dallas Love Field,Santa Barbara Airlines,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,-
2014112818700,20-Nov-14,2-Nov-14,IAH,Houston - George Bush Intercontinental Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2014112818701,17-Nov-14,4-Sep-14,ISP,"Long Island McArthur, Islip",Southwest Airlines  ,-,Checked Baggage,Currency,-,-
2014112818702,25-Nov-14,23-Oct-14,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2014112818703,19-Nov-14,11-May-12,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Computer & Accessories; Cosmetics & Grooming,-,-
2014112818704,18-Nov-14,27-Mar-14,ROC,Greater Rochester International,Allegiant Air,Property Damage,Checked Baggage,Baggage/Cases/Purses; Sporting Equipment & Supplies,-,-
2014112818707,17-Nov-14,9-Nov-14,MCO,Orlando International Airport,UAL  ,Passenger Property Loss,Checkpoint,Cosmetics & Grooming; Currency; Medical/Science,-,-
2014112818708,24-Nov-14,31-Oct-14,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Accessories,-,-
2014112818709,28-Nov-14,31-Oct-14,OAK,Metropolitan Oakland International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014112818710,14-Nov-14,16-Oct-14,OMA,Eppley Airfield,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2014112818711,24-Nov-14,21-Oct-14,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Property Damage,Checked Baggage,-,-,-
2014112818712,24-Nov-14,20-Nov-14,BOI,Boise Air Terminal/Gowen Field,Delta Air Lines  ,Property Damage,Checkpoint,Personal Electronics,-,-
2014112818713,20-Nov-14,5-Nov-14,SLC,Salt Lake City International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Other,-,-
2014112818714,20-Nov-14,10-Nov-14,MIA,Miami International Airport,Avianca  ,Passenger Property Loss,Checked Baggage,Other; Other; Personal Electronics,-,-
2014112818715,23-Nov-14,13-Nov-14,BOS,Boston (Logan) International Airport ,Jet Blue,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Jewelry & Watches,-,-
2014112818717,25-Nov-14,20-Oct-14,OKC,Will Rogers World,Southwest Airlines  ,Passenger Property Loss,Checkpoint,-,-,-
2014112818718,18-Nov-14,26-Aug-14,LAX,Los Angeles International Airport ,Jet Blue,Property Damage,Checkpoint,Computer & Accessories; Computer & Accessories,-,-
2014112818719,20-Nov-14,21-Dec-13,PDX,Portland International,Southwest Airlines  ,Property Damage,Checked Baggage,Musical Instruments & Accessories,-,-
2014112818720,25-Nov-14,3-Nov-14,EWR,Newark International Airport,UAL  ,Property Damage,Checkpoint,-,-,-
2014112818721,20-Nov-14,29-Oct-14,TUS,Tucson International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,-
2014112818722,25-Nov-14,5-Oct-14,EWR,Newark International Airport,UAL  ,Property Damage,Checked Baggage,-,-,-
2014112818724,20-Nov-14,13-Nov-14,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checkpoint,Clothing,-,-
2014112818727,20-Nov-14,16-Oct-14,JFK,John F. Kennedy International,Virgin America,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014112818728,25-Nov-14,21-Oct-14,FLL,Ft. Lauderdale-Hollywood International,-,Property Damage,Checkpoint,-,-,-
2014112818729,24-Nov-14,22-Nov-14,LGA,LaGuardia ,UAL  ,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
2014112818730,20-Nov-14,7-Nov-14,YUM,Yuma International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,-
2014112818731,25-Nov-14,10-Nov-14,DCA,Ronald Reagan Washington National Airport,American Airlines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,-
2014112818732,25-Nov-14,18-Nov-14,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,-,-,-
2014112818733,25-Nov-14,23-Nov-14,TUS,Tucson International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,-,-
2014112818734,25-Nov-14,2-Nov-14,JFK,John F. Kennedy International,Austrian Airlines  ,Property Damage,Checked Baggage,-,-,-
2014112818735,25-Nov-14,1-Nov-14,SJU,Luis Munoz Marin International,-,Passenger Property Loss,Checkpoint,-,-,-
2014112818736,24-Nov-14,18-Nov-14,FLL,Ft. Lauderdale-Hollywood International,Southwest Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,-
2014120118737,20-Nov-14,8-Sep-14,SAN,San Diego International,Southwest Airlines  ,Property Damage,Checked Baggage,Household Items,-,-
2014120118738,20-Nov-14,10-Oct-14,JFK,John F. Kennedy International,-,Passenger Property Loss,Checkpoint,Cameras,-,-
2014120118739,1-Dec-14,11-Nov-14,DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines  ,Property Damage,-,-,-,-
2014120118740,21-Nov-14,27-Sep-14,LAX,Los Angeles International Airport ,UAL  ,Property Damage,Checkpoint,Computer & Accessories,-,-
2014120118742,20-Nov-14,1-Nov-14,DSM,Des Moines International,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,-,-
2014120118743,22-Nov-14,1-Nov-12,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Medical/Science,-,-
2014120118744,1-Dec-14,13-Nov-14,EWR,Newark International Airport,Southwest Airlines  ,Property Damage,Checkpoint,-,-,-
2014120118745,1-Dec-14,24-Nov-14,MYR,Myrtle Beach International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014120118746,20-Nov-14,4-Oct-14,PHX,Phoenix Sky Harbor International,USAir  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,-,-
2014120118747,24-Nov-14,29-Oct-14,JFK,John F. Kennedy International,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,-,-
2014120118748,5-Nov-14,2-Sep-14,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,-,-,-
2014120118749,25-Nov-14,7-Oct-14,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,-,-
2014120118750,23-Nov-14,12-Nov-14,SAN,San Diego International,Southwest Airlines  ,Property Damage,Checked Baggage,Household Items,-,-
2014120118751,24-Nov-14,7-Nov-14,ONT,Ontario International,USAir  ,Property Damage,Checked Baggage,Clothing; Computer & Accessories; Other,-,-
2014120118752,25-Nov-14,29-Oct-14,SEA,Seattle-Tacoma International,Delta Air Lines  ,Property Damage,Checked Baggage,-,-,-
2014120118753,7-Nov-14,30-Sep-14,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014120118754,25-Nov-14,16-Nov-14,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,-,-,-
2014120118755,24-Nov-14,22-Oct-14,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Food & Drink,-,-
2014120118756,6-Nov-14,2-Nov-14,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,-,-,-
2014120118759,25-Nov-14,19-Nov-14,LAX,Los Angeles International Airport ,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,-,-,-
2014120118760,23-Nov-14,28-Oct-14,JFK,John F. Kennedy International,Asiana Airlines,Property Damage,Checked Baggage,Travel Accessories,-,-
2014120118761,25-Nov-14,4-Oct-14,VPS,Okaloosa/ Northwest Florida,Delta Air Lines  ,Passenger Property Loss,-,-,-,-
2014120118762,6-Nov-14,3-Nov-14,DCA,Ronald Reagan Washington National Airport,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014120118763,21-Nov-14,25-Oct-14,LAX,Los Angeles International Airport ,Alaska Airlines  ,Property Damage,Checkpoint,Baggage/Cases/Purses,-,-
2014120118764,7-Nov-14,5-Nov-14,PHX,Phoenix Sky Harbor International,Delta Air Lines  ,Property Damage,Checkpoint,Audio/Video,-,-
2014120118765,24-Nov-14,29-Oct-14,SEA,Seattle-Tacoma International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014120118766,24-Nov-14,11-Nov-14,JBR,Jonesboro Municipal Airport,UAL  ,Passenger Property Loss,Checked Baggage,Clothing; Sporting Equipment & Supplies,-,-
2014120118767,1-Dec-14,6-Oct-14,YKM,Yakima Air Terminal-Mcallister,Horizon Air,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014120118768,6-Nov-14,19-Oct-14,YNG,Youngstown-Warren Regional,Allegiant Air,Passenger Property Loss,Checked Baggage,Medical/Science,-,-
2014120118769,25-Nov-14,9-Aug-14,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checkpoint,-,-,-
2014120118771,7-Nov-14,5-Nov-14,MIA,Miami International Airport,Lan Airlines,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
2014120118772,5-Nov-14,26-Oct-14,LGA,LaGuardia ,Air Canada,Property Damage,Checkpoint,Computer & Accessories,-,-
2014120118773,20-Nov-14,10-Nov-14,JFK,John F. Kennedy International,Virgin America,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2014120218774,20-Nov-14,19-Feb-14,MSY,New Orleans International,American Airlines  ,Property Damage,Checked Baggage,Other,-,-
2014120218775,20-Nov-14,21-Oct-14,EUG,Eugene Airport/Mahlon Sweet Field,UAL  ,Property Damage,Checkpoint,Baggage/Cases/Purses,-,-
